,Unnamed: 0,Question,Answer,True/False,Result
90,91,What is the number of calories in a gram of fat?,9,True,
91,92,What is the number of minutes in an hour?,60,True,
92,93,"Who is the author of the book ""The Hunger Games""?",Suzanne Collins,True,
93,94,What is the number of seconds in a minute?,60,True,
94,95,Who is the CEO of Google?,Sundar Pichai,True,
95,96,What is the number of bits in a byte?,8,True,
96,97,What is the number of pixels in a 1080p resolution image?,1920 x 1080 = 2073600,True,
97,98,Who is the lead guitarist of the band Led Zeppelin?,Jimmy Page,True,
98,99,What is the number of atoms in a molecule of water?,3,True,
99,100,What is the number of sides of a circle?,A circle does not have any sides,True,
