Question,Answer,Offline,Offline_time,Offline_error,Sequential_online,Sequential_online_time,Sequential_online_error,Merged_online,Merged_online_time,Merged_online_error
Who won the first season of American Idol?,Kelly Clarkson,1,80,,1,98,,1,133,
What is the name of the largest city in Scandinavia?,Stockholm,1,61,,1,215,,1,121,
What is the scientific term for the fear of long words?,Sesquipedalophobia,1,80,,1,380,,1,130,
Who played the role of Luke Skywalker in Star Wars?,Mark Hamill,1,128,,1,317,,0,166,
What is the total number of seconds in a day?,86400,1,58,,1,94,,1,236,
What is the percentage of oxygen in the Earth's atmosphere?,21,1,25,,1,94,,1,114,
Who is the richest person in the world?,Jeff Bezos,1,63,,0,432,,0,273,
What is the length of the Great Wall of China in kilometers?,6700,0,91,,0,332,,1,281,
What is the weight of a flock of flamingos?,7.7 pounds,0,139,,0,278,,0,219,1
Who is the lead singer of the band Queen?,Freddie Mercury,1,98,,1,94,,0,144,
What is the temperature at which water freezes in Fahrenheit?,32,0,68,,1,97,,1,108,
What is the date of Christmas Day in December?,25-Dec,1,37,,1,163,,1,114,
Who is the author of the Harry Potter series?,JK Rowling,1,84,,1,85,,1,107,
What is the height of Mount Everest in feet?,29029,1,71,,1,85,,1,275,
What is the number of letters in the Greek alphabet?,24,0,35,,0,88,,0,149,
Who is the current President of the United States?,Joe Biden,0,47,,1,168,,1,105,
What is the value of pi to two decimal places?,3.14,1,39,,1,119,,1,93,
What is the name of the largest living thing on Earth?,Armillaria ostoyae,0,39,,0,261,,0,100,
What is the number of hours in a week?,168,1,56,,1,152,,1,120,
Who is the founder of Facebook?,Mark Zuckerberg,1,36,,1,120,,0,322,
What is the size of a tennis court in square meters?,232.56,0,64,,0,340,,0,191,
What is the number of vertebrae in a human spine?,33,0,144,,1,96,,0,156,
Who is the CEO of Amazon?,Jeff Bezos,1,42,,1,109,,1,102,
What is the volume of a cubic centimeter in milliliters?,1,1,39,,1,91,,0,156,
What is the mass of a neutron in kilograms?,1.67 x 10^-27,1,129,,1,124,,0,90,1
Who is the leader of North Korea?,Kim Jong-un,1,125,,1,180,,1,91,
What is the number of teeth in a healthy adult human mouth?,32,1,107,,1,111,,1,120,
What is the density of water in grams per milliliter?,1,1,109,,0,159,1,0,154,
"Who is the author of the novel ""The Great Gatsby""?",F Scott Fitzgerald,1,80,,1,86,,1,126,
What is the distance between the Earth and the Sun in miles?,93 million,1,51,,0,106,,0,186,
What is the number of days in a leap year?,366,1,57,,1,85,,1,284,
Who is the head coach of the New England Patriots football team?,Bill Belichick,1,59,,0,384,,0,244,
What is the number of muscles in the human body?,640,0,147,,1,94,,0,321,
What is the number of countries in the European Union?,27,1,62,,1,106,,0,105,
Who is the winner of the first season of Survivor?,Richard Hatch,1,84,,1,108,,0,147,
What is the number of chromosomes in a human cell?,46,1,98,,1,222,,1,120,
What is the number of inches in a yard?,36,1,43,,1,79,,1,101,
Who is the lead singer of the band AC/DC?,Brian Johnson,0,65,,1,109,,0,181,
What is the number of slices in a standard pizza?,8,1,137,,1,94,,1,110,
What is the number of keys on a standard piano keyboard?,88,1,115,,1,91,,1,108,
Who is the owner of the Seattle Seahawks football team?,Paul Allen,1,83,,1,151,,1,120,
What is the number of states in the United States of America?,50,0,70,,1,80,,1,151,
"Who is the host of the television show ""Jeopardy!""?",Alex Trebek,1,39,,1,164,,1,131,
What is the number of calories in a gram of fat?,9,1,69,,1,87,,0,215,1
"Who is the author of the book ""The Hunger Games""?",Suzanne Collins,1,32,,1,90,,1,204,
What is the number of seconds in a minute?,60,1,52,,1,161,,0,323,
Who is the CEO of Google?,Sundar Pichai,1,90,,1,94,,1,121,
What is the number of bits in a byte?,8,1,90,,1,80,,1,106,
What is the number of pixels in a 1080p resolution image?,1920 x 1080 = 2073600,1,125,,1,295,,1,130,
Who is the lead guitarist of the band Led Zeppelin?,Jimmy Page,1,115,,1,93,,0,287,
What is the number of atoms in a molecule of water?,3,1,40,,1,100,,1,111,
What is the number of sides of a circle?,A circle does not have any sides,1,101,,1,88,,1,97,
Which species of fish is reported to produce sounds louder than an elephant?,Danionella cerebrum,0,99,,1,115,,1,114,
