Question,Answer,Offline,Offline_time,Offline_error,Sequential_online,Sequential_online_time,Sequential_online_error,Merged_online,Merged_online_time,Merged_online_error
"Are there any initial reports of damage or casualties from the earthquake at Ramganj, Chittagong, Bangladesh, on December 2,2023?",No,,,,,,,,,
In which division did the earthquake occur in december 2nd 2023 at bangladesh?,Chittagong Division,,,,,,,,,
"Where did the earthquake occur in relation to Ramganj, Chittagong Division in december 2nd 2023?",Around 9 km (5 miles) northeast.,,,,,,,,,
Who won the opening Test between Bangladesh and New Zealand in Sylhet in 2023 bangladesh?,Bangladesh,,,,,,,,,
Who was the standout bowler for Bangladesh in the opening Test in bd vs nz match in 2023 ?,Taijul Islam,,,,,,,,,
When are the general elections scheduled to be held in Bangladesh in 2024?,7-Jan-24,,,,,,,,,
What caused disruption in internet and telecom services in Dhaka's Mohakhali in 2023 for few days?,Fire at Khawaja Tower,,,,,,,,,
What does ICX stand for in the telecommunication network?,ICX stands for Interconnection Exchanges,,,,,,,,,
What was the year-on-year increase in remittance sent home by migrant workers in November 2023?,21 percent,,,,,,,,,
"How much did migrant workers send home in November 2023, and how does it compare to the same month last year 2022?","$1.93 billion,an increase from $1.59 billion",,,,,,,,,
What is the current trend in remittance receipts compared to the previous month 2023?,November's receipts were 2.42 percent down from the previous month,,,,,,,,,
"How many garment workers were injured during the earthquake incident in Chauddagram, Cumilla, and what caused the rush to exit the factory building december 2023?",76 workers,,,,,,,,,
Taijul Islam takes how many wickets in the first Test at the Sylhet International Cricket Stadium november 2023?,10,,,,,,,,,
What is the capital of France?,Paris,,,,,,,,,
Who is the CEO of Microsoft?,Satya Nadella,,,,,,,,,
What is the boiling point of water in Celsius?,100,,,,,,,,,
What is the highest mountain peak in the solar system?,Olympus Mons,,,,,,,,,
How many legs does a cat have?,4,,,,,,,,,
What is the chemical symbol for gold?,Au,,,,,,,,,
Who painted the Mona Lisa?,Leonardo da Vinci,,,,,,,,,
What is the smallest country in the world?,Vatican City,,,,,,,,,
What is the largest planet in our solar system?,Jupiter,,,,,,,,,
What is the square root of 16?,4,,,,,,,,,
"Who wrote the book ""To Kill a Mockingbird""?",Harper Lee,,,,,,,,,
What is the speed of light in meters per second?,299792458,,,,,,,,,
What is the currency of Japan?,Yen,,,,,,,,,
What is the number of sides of a hexagon?,6,,,,,,,,,
Who won the first season of American Idol?,Kelly Clarkson,,,,,,,,,
What is the name of the largest city in Scandinavia?,Stockholm,,,,,,,,,
What is the scientific term for the fear of long words?,Sesquipedalophobia,,,,,,,,,
Who played the role of Luke Skywalker in Star Wars?,Mark Hamill,,,,,,,,,
What is the total number of seconds in a day?,86400,,,,,,,,,
What is the percentage of oxygen in the Earth's atmosphere?,21,,,,,,,,,
Who is the richest person in the world?,Jeff Bezos,,,,,,,,,
What is the length of the Great Wall of China in kilometers?,6700,,,,,,,,,
What is the weight of a flock of flamingos?,7.7 pounds,,,,,,,,,
Who is the lead singer of the band Queen?,Freddie Mercury,,,,,,,,,
What is the temperature at which water freezes in Fahrenheit?,32,,,,,,,,,
What is the date of Christmas Day in December?,25-Dec,,,,,,,,,
Who is the author of the Harry Potter series?,JK Rowling,,,,,,,,,
What is the height of Mount Everest in feet?,29029,,,,,,,,,
What is the number of letters in the Greek alphabet?,24,,,,,,,,,
Who is the current President of the United States?,Joe Biden,,,,,,,,,
What is the value of pi to two decimal places?,3.14,,,,,,,,,
What is the name of the largest living thing on Earth?,Armillaria ostoyae,,,,,,,,,
What is the number of hours in a week?,168,,,,,,,,,
Who is the founder of Facebook?,Mark Zuckerberg,,,,,,,,,
What is the size of a tennis court in square meters?,232.56,,,,,,,,,
What is the number of vertebrae in a human spine?,33,,,,,,,,,
Who is the CEO of Amazon?,Jeff Bezos,,,,,,,,,
What is the volume of a cubic centimeter in milliliters?,1,,,,,,,,,
What is the mass of a neutron in kilograms?,1.67 x 10^-27,,,,,,,,,
Who is the leader of North Korea?,Kim Jong-un,,,,,,,,,
What is the number of teeth in a healthy adult human mouth?,32,,,,,,,,,
What is the density of water in grams per milliliter?,1,,,,,,,,,
"Who is the author of the novel ""The Great Gatsby""?",F Scott Fitzgerald,,,,,,,,,
What is the distance between the Earth and the Sun in miles?,93 million,,,,,,,,,
What is the number of days in a leap year?,366,,,,,,,,,
Who is the head coach of the New England Patriots football team?,Bill Belichick,,,,,,,,,
What is the number of muscles in the human body?,640,,,,,,,,,
What is the number of countries in the European Union?,27,,,,,,,,,
Who is the winner of the first season of Survivor?,Richard Hatch,,,,,,,,,
What is the number of chromosomes in a human cell?,46,,,,,,,,,
What is the number of inches in a yard?,36,,,,,,,,,
Who is the lead singer of the band AC/DC?,Brian Johnson,,,,,,,,,
What is the number of slices in a standard pizza?,8,,,,,,,,,
What is the number of keys on a standard piano keyboard?,88,,,,,,,,,
Who is the owner of the Seattle Seahawks football team?,Paul Allen,,,,,,,,,
What is the number of states in the United States of America?,50,,,,,,,,,
"Who is the host of the television show ""Jeopardy!""?",Alex Trebek,,,,,,,,,
What is the number of calories in a gram of fat?,9,,,,,,,,,
"Who is the author of the book ""The Hunger Games""?",Suzanne Collins,,,,,,,,,
What is the number of seconds in a minute?,60,,,,,,,,,
Who is the CEO of Google?,Sundar Pichai,,,,,,,,,
What is the number of bits in a byte?,8,,,,,,,,,
What is the number of pixels in a 1080p resolution image?,1920 x 1080 = 2073600,,,,,,,,,
Who is the lead guitarist of the band Led Zeppelin?,Jimmy Page,,,,,,,,,
What is the number of atoms in a molecule of water?,3,,,,,,,,,
What is the number of sides of a circle?,A circle does not have any sides,,,,,,,,,
